MMT,201203031503242870,"Lemon Tree Premier, Leisure Valley, Gurgaon","New Delhi And NCR","48, City Center, Sector 29,Gurgaon 122002, Haryana, Sector 29, Gurgaon, New Delhi And NCR, India",4702,4,4,"Book Within 7 Days of Arrival and Get 10&#037; Off &#033;&#033; | Stay for min 3 nights &amp; get 15&#037; off &#046;&#046;&#033;&#033; | Weekend Special&#046;&#046;&#033;&#033; Get 15&#037; off on Fri&#044; Sat&#044; Sun&#046;&#046;&#033;&#033; | PAN card will not be accepted as Identity Proof &#033;&#033;",1
MMT,201104081739311111,"Hotel City Premier","New Delhi And NCR","Plot No 6303,Near Super Mart 1, DLF Phase- 4, , DLF Phase- 4, Gurgaon, New Delhi And NCR, India",1800,3.5,3,,1
MMT,200901201349531876,"Cabana Hotel","New Delhi And NCR","R - 23, GREATER KAILASH Part 1, Greater Kailash 1,South Delhi, New Delhi And NCR, India",2867,3.9,3,,1
MMT,201203031754134704,"The Oberoi Gurgaon","New Delhi And NCR","443, Udyog Vihar, Phase V, National Capital Region, New Delhi And NCR, India",13000,0,5,,0
MMT,201212311256437984,"The TreeHouse Gurgaon","New Delhi And NCR","Opp.Distt.Courts,Near Rajiv Chowk, Near Rajiv Chowk,Gurgaon, New Delhi And NCR, India",2700,4.2,3,,1
MMT,201404262025206984,"Holiday Inn New Delhi International Airport","New Delhi And NCR","Asset Area 12, Hospitality District, Aerocity, Delhi International Airport, New Delhi And NCR, India",5312,4.2,5,,0
MMT,200701111237534875,"Hotel Vikram","New Delhi And NCR","1-2 Lajpat Nagar Part-IV, Lajpat Nagar,South Delhi, New Delhi And NCR, India",4450,4,4,,1
MMT,201107201122598377,"Hotel Godwin Deluxe      ","New Delhi And NCR","8501/15, Arakshan Road, , Pahar Ganj, New Delhi Railway Station, New Delhi And NCR, India",2030,4,3,"Last Minute Booking  Offer 30 &#037; Discount",1
MMT,201301201712598999,"Park Ascent","New Delhi And NCR","Plot No 12,6, Opp IIM Lucknow Noida Campus , Noida Khoda Road , Sector 62 , Noida, Sector 62, Noida , New Delhi And NCR, India",5175,4.2,4,"Book &amp; Save &#033;&#033;&#033;",1
MMT,200906191523351301,"Svelte Hotel and Personal Suites","New Delhi And NCR","A - 3 District Centre, Saket, Saket, Select City Walk Mall, South Delhi, New Delhi And NCR, India",6335,4,5,"Long Stay Deal &#033;&#033;&#033;",1
MMT,20100521113842955,"Hotel Malik Continental","New Delhi And NCR","Opp L.I.G. Flats, Masoodpur Main Road,Vasant Kunj, Vasant Kunj, International Airport Zone , New Delhi And NCR, India",1999,3.8,3,,1
MMT,201101141522264305,"Radisson Blu Hotel Paschim Vihar","New Delhi And NCR","Outer Ring Road, Paschim Vihar, New Delhi And NCR, India",4950,3.9,5,"Limited Time Discount!",1
MMT,20090912131939256,"The Bristol Hotel","New Delhi And NCR","Near Dlf Qutab Enclave Phase 1, Dlf Phase 1,Gurgaon, New Delhi And NCR, India",5999,3.3,5,,1
MMT,201203141036031166,"Clarens-A Boutique Hotel","New Delhi And NCR","Plot No. 363-364,Sector-29, Sector-29,Gurgaon, New Delhi And NCR, India",5500,4.5,4,,1
MMT,201408181436548370,"OYO Rooms New Friends Colony","New Delhi And NCR","New Friends Colony, New Friends Colony, New Delhi And NCR, India",1299,3.5,3,"Flat 50&#037; Off&#045;Limited Time Offer",1
MMT,201104161029126790,"Hotel Le Roi","New Delhi And NCR","2206, Chunna Mandi, Raj Guru Road,, Pahar Ganj, New Delhi Railway Station, New Delhi And NCR, India",1642,3.6,3,"Stay for 3 Nights and More and Save 25&#037; off",1
MMT,201312051445358230,"Oyo Rooms Golf Course Road","New Delhi And NCR","Golf Course Road, Gurgaon, New Delhi And NCR, India",1199,3.6,3,"Flat 50&#037; Off&#045;Limited Time Offer",1
MMT,201105141028003301,"Hotel 32nd Milestone","New Delhi And NCR","NH-8, Sector-15, Part 2, Sector 15,Gurgaon, New Delhi And NCR, India",3699,3.8,3,,1
MMT,200902200942406232,"Hotel Singh Empire Dx","New Delhi And NCR","8707 - 8710, D B Gupta Road PaharGanj, Pahar Ganj, New Delhi Railway Station, New Delhi And NCR, India",1170,3.7,3,"Book Now And Save 30&#037;",1
MMT,201101051901299137,"Clarks Inn Suites","New Delhi And NCR","Pacific Buisness Park,37/1,Site iv,, Sahibabad Industrial Area,, New Delhi And NCR, India",2700,3.3,4,"Book now and Save 10&#037;&#046;&#046;&#033;&#033;",0
MMT,201403161714172668,"Hotel Cabana","New Delhi And NCR","2313 Behind Imperial Cinema, Near R K Ashram Metro Station, Near R K Ashram Metro Station, New Delhi Railway Station,Paharganj, New Delhi And NCR, India",1108,3.9,3,"Hurry&#058; Book now and get 45 &#037; Off",1
MMT,201004151444364867,"The Visaya","New Delhi And NCR","N82, PANCHSHILA PARK, Panchsheel Park, South Delhi, New Delhi And NCR, India",6000,4,4,"Extended Stay Offer",1
MMT,201306281557126167,"JP Hotel & Resorts","New Delhi And NCR","6 B Community Centre, Patparganj, IP Extension,NH24 Delhi, Patparganj, New Delhi And NCR, India",2725,3.6,3,,1
